Rank,Title,Username,Rating,Points,Tie Break,Performance
1,,arkosa,1912,4.0,9.5,1872.75
2,,Aariv-Shaha,1319,3.5,7.75,1957.0
3,,mosalah_1024,1828,3.5,7.75,1829.75
4,,Anvi-Shaha123,991,3.0,7.0,1853.0
5,,pravin_kr,1500,3.0,4.5,1522.0
6,,vipulnov1988,1500,3.0,4.5,1365.0
7,,ashokno1,1500,3.0,4.0,1581.0
8,,Chandra_S_Tripathi,1500,3.0,3.5,1437.25
9,,singh_amit_36,1500,2.5,3.0,2000.0
10,,RAYANDAS,980,2.5,3.0,1666.6666
11,,antarmallick98,1500,2.5,3.0,1291.0
12,,aninsane_lc,1500,2.5,2.5,2000.0
13,,Shoumik-Das,1228,2.0,3.0,1500.0
14,,Shauryanamo,982,2.0,3.0,1500.0
15,,mohit_7530,1500,2.0,3.0,1294.75
16,,PriyankaShaha,758,2.0,2.5,1333.3334
17,,AmitChessy,1500,2.0,2.5,1304.75
18,,rishank08,1500,2.0,1.75,1393.5
19,,NeelabhNeeraj,1500,2.0,1.5,1310.0
20,,Subhadip1221,1500,2.0,1.0,1378.0
21,,bishop793,860,1.5,3.75,1375.0
22,,Gaurika18Agarwal,1500,1.5,1.5,1093.75
23,,manaschoudhary1234,1500,1.5,1.25,1215.0
24,,turjo462,1500,1.5,0.5,1500.0
25,,RITVIKMISHRAT71802,1500,1.5,0.5,1160.0
26,,fredonkulous,1500,1.5,0.5,1027.0
27,,prisha2909,1500,1.0,2.0,996.5
28,,SouravEGV,1500,1.0,1.0,1166.6666
29,,aadrikaghosh,930,1.0,1.0,1000.0
30,,divyapoddar,1500,1.0,0.5,1182.0
31,,ADVIKMISHRAT71802,1074,0.5,1.0,1125.0
32,,AtulyaP_17,1500,0.5,1.0,982.0
33,,Ayintik,1500,0.5,0.25,1228.0
34,,DKShaha321,1500,0.5,0.25,1125.0
35,,Chaiti25,1500,0.5,0.0,1000.0
36,,dkoushik,865,0.0,0.0,1000.0
