Rank,Title,Username,Rating,Points,Tie Break,Performance
1,,sjs1729,1971,5.0,17.0,2123.8
2,,mosalah_1024,1828,4.0,12.5,1976.6
3,,Aariv-Shaha,1319,4.0,11.0,1712.6
4,,ashokno1,1500,4.0,10.0,1914.2
5,,arkosa,1912,4.0,9.0,1865.6
6,,Anvi-Shaha123,1043,4.0,8.5,1758.6
7,,pravin_kr,1500,3.0,9.0,1445.4
8,,singh_amit_36,1791,3.0,7.5,1547.2
9,,AmitChessy,1500,3.0,6.0,1431.8
10,,Dchoudhury123,946,3.0,5.0,1658.2
11,,antarmallick98,1500,3.0,5.0,1320.2
12,,Chandra_S_Tripathi,1500,3.0,5.0,1272.8
13,,Gaurika18Agarwal,1500,3.0,4.5,1605.6
14,,Ashay2,1500,3.0,4.0,1509.8
15,,manaschoudhary1234,1500,2.5,5.75,1412.0
16,,prisha2909,1293,2.5,2.75,1362.8
17,,NeelabhNeeraj,1500,2.5,1.75,1519.8
18,,Shauryanamo,1059,2.0,4.0,1314.8
19,,kamalEGV,1500,2.0,4.0,1286.4
20,,Ayintik,1500,2.0,3.5,1289.2
21,,rishank08,772,2.0,2.0,1303.8
22,,RITVIKMISHRAT71802,1267,2.0,2.0,1188.6
23,,Subhadip1221,1500,2.0,1.5,1230.8
24,,ADVIKMISHRAT71802,1074,2.0,1.0,1266.0
25,,turjo462,1500,1.5,3.25,1270.2
26,,AtulyaP_17,1500,1.0,2.5,836.4
27,,aninsane_lc,1781,1.0,2.0,1500.0
28,,divyapoddar,1500,1.0,2.0,1197.2
29,,sekhar_7das,671,1.0,2.0,1000.0
30,,ShubhroCool1,743,1.0,1.5,941.75
31,,vipulnov1988,1500,1.0,1.0,844.5
32,,DKShaha321,1200,1.0,0.0,962.0
33,,Shoumik-Das,1136,0.5,0.0,
34,,Amaya_Singh,1271,0.0,0.0,813.4
